artist,artist_href,life,num_artworks
Alexey  Bogolyubov,/en/alexey-bogolyubov,1824 - 1896,44
Oleksandr Bogomazov,/en/oleksandr-bogomazov,1880 - 1930,43
Maurice Boitel,/en/maurice-boitel,1919 - 2007,18
Ferdinand Bol,/en/ferdinand-bol,1616 - 1680,79
Giovanni Boldini,/en/giovanni-boldini,1842 - 1931,243
Bill Bollinger,/en/bill-bollinger,1939 - 1988,12
Ilya Bolotowsky,/en/ilya-bolotowsky,1907 - 1981,0
Christian Boltanski,/en/christian-boltanski,1944 - 2021,11
Giovanni Antonio Boltraffio,/en/giovanni-antonio-boltraffio,c.1466 - 1516,16
Michael Bolus,/en/michael-bolus,1934 - 2013,16
David Bomberg,/en/david-bomberg,1890 - 1957,17
Camille Bombois,/en/camille-bombois,1883 - 1970,29
Maurice Bompard,/en/maurice-bompard,1857 - 1936,17
Vladimir Bonacic,/en/vladimir-bonacic,1938 - 1999,12
Agostino Bonalumi,/en/agostino-bonalumi,born 1935,29
Victor Bonato,/en/victor-bonato,born 1934,18
Volodymyr Bondarenko,/en/volodymyr-bondarenko,1906 - 1980,8
Dora Boneva,/en/dora-boneva,born 1936,7
Rosa Bonheur,/en/rosa-bonheur,1822 - 1899,58
Richard Parkes Bonington,/en/richard-parkes-bonington,1802 - 1828,43
Pierre Bonnard,/en/pierre-bonnard,1867 - 1947,242
Leon Bonnat,/en/leon-bonnat,1833 - 1922,42
Elena Bontea,/en/elena-bontea,born 1936,12
Lee Bontecou,/en/lee-bontecou,born 1931,42
Gregoire Boonzaier,/en/gregoire-boonzaier,1909 - 2005,92
Columbano Bordalo Pinheiro,/en/columbano-bordalo-pinheiro,1857 - 1929,29
Noè Bordignon,/en/noe-bordignon,1840 - 1920,64
Paul-Émile Borduas,/en/paul-emile-borduas,1905 - 1960,12
Boris Bućan,/en/boris-bucan,born 1947,20
Victor Borisov-Musatov,/en/victor-borisov-musatov,1870 - 1905,66
Aleksandr Borodin,/en/aleksandr-borodin,1959 - 2014,15
Vladimir Borovikovsky,/en/vladimir-borovikovsky,1757 - 1825,108
Sandor Bortnyik,/en/sandor-bortnyik,1893 - 1976,29
Hieronymus Bosch,/en/hieronymus-bosch,c.1450 - 1516,183
Nandalal Bose,/en/nandalal-bose,1882 - 1966,17
Derek Boshier,/en/derek-boshier,born 1937,22
Carlos Botelho,/en/carlos-botelho,1899 - 1982,19
Fernando Botero,/en/fernando-botero,born 1932,177
Jan Dirksz Both,/en/jan-dirksz-both,c.1618 - 1652,30
Jessie Arms Botke,/en/jessie-arms-botke,1883 - 1971,10
Martha Boto,/en/martha-boto,1925 - 2004,39
Chronis Botsoglou,/en/chronis-botsoglou,born 1941,49
Francis Bott,/en/francis-bott,1904 - 1998,30
Sandro Botticelli,/en/sandro-botticelli,c.1445 - 1510,137
Francesco Botticini,/en/francesco-botticini,1446 - 1498,32
Pauline Boty,/en/pauline-boty,1938 - 1966,14
Francois Boucher,/en/francois-boucher,1703 - 1770,74
Eugene Boudin,/en/eugene-boudin,1824 - 1898,560
Alice Boughton,/en/alice-boughton,1866 - 1943,16
William-Adolphe Bouguereau,/en/william-adolphe-bouguereau,1825 - 1905,388
Gustave Boulanger,/en/gustave-boulanger,1824 - 1888,14
Sebastien Bourdon,/en/sebastien-bourdon,1616 - 1671,23
Louise Bourgeois,/en/louise-bourgeois,1911 - 2010,204
Dirk Bouts,/en/dirk-bouts,c.1415 - 1475,46
George Bouzianis,/en/george-bouzianis,1885 - 1959,78
